 offer_id |                      pickup_address                       |                  dropoff_address                   |        pickup_time         |        dropoff_time        | dropoff_error_m | dropoff_classification | confidence | verdict | hex_hourly | radar_hourly | delta  | radar_confidence |  pin_vs_actual_m   
     5770 | Bellows Dr & Fannin St, Houston, Texas                    | Bob White Dr & Fairmont St, Houston, Texas         |                            |                            |                 |                        | medium     | DECLINE | 9.41       | 12.95        | 3.54   | medium           |                   
     5771 | Columbia St & White Oak Dr, Houston, Texas                | Chatsworth Dr& Holy Rood Ln, Houston, Texas        | 2026-04-15 20:08:37.830166 | 2026-04-16 01:27:48.754687 |    341.57933919 | watchdog_b             | high       | ACCEPT  | 29.52      | 22.23        | -7.29  | medium           |       444.78335734
     5772 | West Loop N, Houston, Texas                               | Elmside Dr, Houston, Texas                         |                            |                            |                 |                        | high       | DECLINE | 9.89       | 9.89         | 0.0    | low              |                   
     5773 | West Loop N, Houston, Texas                               | Elmside Dr, Houston, Texas                         |                            |                            |                 |                        | high       | DECLINE | 11.79      | 10.84        | -0.95  | low              |                   
     5774 | AM E 2nd St & Heights Blvd, Houston, Texas                | Dow Rd & Grow Ln, Houston, Texas                   |                            |                            |                 |                        | low        | DECLINE | 6.74       | 22.25        | 15.51  | low              |                   
     5775 | 1l mins (4.6 mi) Bellmeade St & Westheimer Rd, Texas      | Bellmeade St & Westheimer Rd, Houston, Texas       |                            |                            |                 |                        | low        | DECLINE | 0.0        |              |        |                  |                   
     5776 | Arlington St & Katy Freeway Service Dr, Houston, Texas    | Laverne St & Lonestar Creekbend Ln, Houston, Texas |                            |                            |                 |                        | high       | DECLINE | 20.7       | 22.33        | 1.63   | medium           |                   
     5777 | Beall St & W 19th St, Houston, Texas                      | Washington Ave, Houston, Texas                     | 2026-04-15 20:40:50.249695 | 2026-04-16 01:56:58.085086 |    321.78452211 | watchdog_b             | high       | ACCEPT  | 28.64      | 18.13        | -10.51 | low              |        348.0161145
     5778 | Nett St & Studer St, Houston, Texas                       | Riverway, Houston, Texas                           |                            |                            |                 |                        | high       | ACCEPT  | 34.0       | 17.34        | -16.66 | low              |                   
     5779 | Airline Dr & E 29th St, Houston, Texas                    | W 21st St & Yale St, Houston, Texas                |                            |                            |                 |                        | high       | DECLINE | 24.56      | 24.56        | 0.0    | low              |                   
     5780 | Beall St & W 19th St, Houston, Texas                      | Gaylord Dr, Houston, Texas                         |                            |                            |                 |                        | high       | DECLINE | 18.25      | 25.85        | 7.6    | low              |                   
