X,Y,OBJECTID,SignalID,Locaction_Name,Type_,Status,Turn_on_Date,Precinct,Latitude,Longitude,Billing_Addr,Shape
3170420.76924677,13922629.5502516,929,TCS-0939,Will Clayton Pkwy @ June Forest Dr,Traffic Control Signal,Active,2017/02/15 00:00:00+00,3,29.977892,-95.20302,11722« Will Clayton Parkway,
3152066.68817286,13922544.8437281,930,TCS-0940,Will Clayton Pkwy @ Old Humble Rd & S Houston Ave,Traffic Control Signal,Active,1983/05/19 00:00:00+00,3,29.979285,-95.260971,8201 Will Clayton Parkway,
3174165.7614287,13923140.6922739,931,TCS-0941,Will Clayton Pkwy @ Timber Forest Dr,Traffic Control Signal,Active,2015/01/21 00:00:00+00,3,29.978962,-95.191145,12339« Will Clayton Pkwy,
3156035.45385736,13922651.2457463,932,TCS-0942,Will Clayton Pkwy @ Wilson Rd,Traffic Control Signal,Active,2010/11/30 00:00:00+00,3,29.979228,-95.248431,8901 Will Clayton Parkway,
3167482.53266919,13922548.0658345,933,TCS-0943,Will Clayton Pkwy @ Woodland Hills Dr,Traffic Control Signal,Active,2009/08/20 00:00:00+00,3,29.97793,-95.212304,11155« Will Clayton Pkwy,
3156056.41674194,13909605.1530721,934,TCS-0944,Wilson Rd @ Canyon Village Trace Dr & Loggia Ln,Traffic Control Signal,Active,2014/08/21 00:00:00+00,1,29.94337,-95.249686,4603« Wilson Rd,
3065743.7082601,13881573.0975878,935,TCS-0945,Windfern Rd @ Emmott Rd,Traffic Control Signal,Active,2019/05/02 00:00:00+00,1,29.873979,-95.537341,7103« Emmott Road,
3065507.13064928,13888062.6144644,936,TCS-0946,Windfern Rd @ Mauna Loa Ln,Traffic Control Signal,Active,2018/07/12 00:00:00+00,1,29.891836,-95.537481,8237« Windfern Road,
3056506.46590786,13903001.1013196,937,TCS-0947,Windfern Rd @ Perry Rd,Traffic Control Signal,Active,1986/02/03 00:00:00+00,3,29.933627,-95.564489,11290 Perry Road,
3065570.83721478,13885911.4799871,938,TCS-0948,Windfern Rd @ Philippine St,Traffic Control Signal,Active,1988/02/23 00:00:00+00,1,29.885918,-95.537481,7715« Windfern Road,
3065150.08838436,13889693.1866625,939,TCS-0949,Windfern Rd @ Rodney Ray Blvd,Traffic Control Signal,Active,2018/04/24 00:00:00+00,1,29.896347,-95.538455,8350« Windfern Road,
3193638.72117037,13854626.2138176,940,TCS-0950,Woodforest Blvd @ Ashland Blvd,Traffic Control Signal,Active,2000/08/08 00:00:00+00,2,29.788899,-95.136819,15359« Woodforest Boulevard,
3183117.21498245,13854822.1425596,941,TCS-0951,Woodforest Blvd @ Barbara Mae Blvd,Traffic Control Signal,Active,1996/12/04 00:00:00+00,2,29.790389,-95.169952,14303« Woodforest Boulevard,
3183955.19526187,13854865.6136013,942,TCS-0952,Woodforest Blvd @ Black Rock Rd,Traffic Control Signal,Active,2009/08/06 00:00:00+00,2,29.790433,-95.167307,14341« Woodforest Boulevard,
3191329.78582761,13854524.1556228,943,TCS-0954,Woodforest Blvd @ Deerpass Dr,Traffic Control Signal,Active,2004/03/24 00:00:00+00,2,29.788828,-95.144105,15199« Woodforest Boulevard,
3192525.63382961,13854581.0807058,944,TCS-0955,Woodforest Blvd @ Dell Dale St,Traffic Control Signal,Active,1983/05/18 00:00:00+00,2,29.788876,-95.140331,907 Dell Dale Drive,
3180424.00711428,13855340.8816796,945,TCS-0956,Woodforest Blvd @ Freeport St,Traffic Control Signal,Active,1984/04/12 00:00:00+00,2,29.792057,-95.178385,397 Freeport Street,
3175935.67685211,13855830.413837,946,TCS-0957,Woodforest Blvd @ Grand Oaks Blvd,Traffic Control Signal,Active,2021/05/27 00:00:00+00,2,29.793805,-95.192478,13090« Woodforest Boulevard,
3187166.1724357,13854828.0329678,947,TCS-0958,Woodforest Blvd @ Sterling Green Dr & Overbluff Dr,Traffic Control Signal,Active,1996/09/05 00:00:00+00,2,29.79004,-95.157193,14804« Woodforest Boulevard,
3168149.04445952,13910152.2238283,948,TCS-0959,Woodland Hills Dr @ Balmoral Hills Dr,Traffic Control Signal,Active,2018/12/27 00:00:00+00,3,29.943802,-95.211468,15400« Woodland Hills Drive,
3168176.90070303,13908656.989286,949,TCS-0960,Woodland Hills Dr @ Sunset Breeze Dr,Traffic Control Signal,Active,2017/04/27 00:00:00+00,3,29.93969,-95.211533,15032« Woodland Hills Drive,
2991164.71076486,13869303.3291484,950,TCS-0961,Peek Rd @ Stockdick School Rd,Traffic Control Signal,Design,,4,29.846116,-95.77364,,
3012842.12016585,13872529.6760421,951,TCS-0962,Greenhouse Rd @ Hollyhock Dr,Traffic Control Signal,Active,2018/08/14 00:00:00+00,4,29.853323,-95.705,5751« Greenhouse Road,
3072938.18468478,13964764.5089605,952,TCS-0963,Gosling Rd @ West Mossy Oaks Rd,Traffic Control Signal,Active,2017/11/16 00:00:00+00,3,30.10205,-95.506811,23227« Gosling Road,
3102508.45920552,13927663.9634111,953,TCS-0964,East Richey Rd @ Woodham Dr & Edgeglen Dr,Traffic Control Signal,Active,2019/12/23 00:00:00+00,1,29.99762,-95.416936,401« East Richey Road,
2980621.1974031,13868939.3144564,954,TCS-0965,Katy Hockley Cut-Off Rd @ Stockdick School Rd,Traffic Control Signal,Active,2018/03/29 00:00:00+00,4,29.845911,-95.806918,24950 « Katy Hockley Cut Off,
3035394.40248902,13926285.0731243,955,TCS-0966,Grant Rd @ Rosewood Glen Dr,Traffic Control Signal,Active,2018/10/18 00:00:00+00,3,29.999316,-95.628997,13610« Grant Road,
3086555.41729277,13958148.8145148,956,TCS-0967,Spring Stuebner Rd @ Greengate Dr,Traffic Control Signal,Active,2019/08/15 00:00:00+00,3,30.082742,-95.4644,3041« Spring Stuebner Road,
3123204.79740594,13944948.755285,957,TCS-0968,Treaschwig Rd @ Jay Dr,Traffic Control Signal,Active,2018/05/17 00:00:00+00,3,30.043367,-95.349881,5425« Treaschwig Road,
3061843.10844977,13900260.8935454,958,TCS-0969,Fallbrook Dr @ Windfern Rd,Traffic Control Signal,Construction,,1,29.925663,-95.547903,,
3167626.82568769,13920763.6865293,959,TCS-0970,Woodland Hills Dr @ Wells Mark Dr,Traffic Control Signal,Active,2018/05/10 00:00:00+00,3,29.973013,-95.212031,17227« Woodland Hills Drive,
3165473.1587352,13875747.4652102,960,TCS-0971,Tidwell Rd @ John Ralston Rd,Traffic Control Signal,Active,2021/06/15 00:00:00+00,1,29.84948,-95.22342,11900« Tidwell Road,
